event_id,customer_id,asset_id,event_type,gross_amount,fee_amount,net_amount,event_timestamp,period_date,settlement_date,status,source_system,product_line,metadata_json,created_at
FE000164,CUST004,ASSET_USDC,stablecoin_transfer_out,3968136.59,1984.068295,3966152.521705,2025-03-06 16:07:39,2025-03-01,2025-03-04,settled,custody_platform,stablecoin,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_177872"", ""custodian_ref"": ""CREF_461683""}",2025-03-06 16:07:39
FE000582,CUST014,ASSET_ETH,staking_reward_settled,42.07202437,4.20720244,37.86482193,2025-02-02 18:17:42,2025-02-01,2025-03-02,settled,protocol_oracle,staking,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_770957"", ""custodian_ref"": ""CREF_275815""}",2025-02-02 18:17:42
FE000266,CUST007,ASSET_AVAX,staking_fee_charge,649.9178531,64.99178531,584.92606779,2025-06-01 08:53:58,2025-06-01,2025-07-03,pending,billing_system,staking,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_452512"", ""custodian_ref"": ""CREF_670587""}",2025-06-01 08:53:58
FE000004,CUST001,ASSET_MATIC,staking_reward_earned,441.04692624,44.10469262,396.94223362,2025-05-18 00:07:52,2025-05-01,2025-05-31,settled,protocol_oracle,staking,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_265593"", ""custodian_ref"": ""CREF_537314""}",2025-05-18 00:07:52
FE000230,CUST006,ASSET_ADA,custody_withdrawal,437.12168287,0.43712168,436.68456119,2024-07-01 05:27:44,2024-07-01,2024-07-03,settled,custody_platform,custody,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_229996"", ""custodian_ref"": ""CREF_299580""}",2024-07-01 05:27:44
FE000375,CUST010,ASSET_USDC,stablecoin_transfer_in,1719132.77,859.566385,1718273.203615,2024-08-04 14:27:55,2024-08-01,2024-08-02,settled,custody_platform,stablecoin,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_707514"", ""custodian_ref"": ""CREF_620321""}",2024-08-04 14:27:55
FE000138,CUST004,ASSET_USDC,stablecoin_transfer_out,3265768.48,1632.88424,3264135.59576,2025-04-26 14:53:24,2025-04-01,2025-04-03,settled,custody_platform,stablecoin,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_381049"", ""custodian_ref"": ""CREF_861289""}",2025-04-26 14:53:24
FE000874,CUST019,ASSET_MATIC,custody_deposit,868.95961068,0.86895961,868.09065107,2025-02-01 22:15:00,2025-02-01,2025-02-01,settled,custody_platform,custody,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_100484"", ""custodian_ref"": ""CREF_448315""}",2025-02-01 22:15:00
FE000809,CUST018,ASSET_USDT,stablecoin_transfer_in,2405252.37,1202.626185,2404049.743815,2025-05-07 19:10:02,2025-05-01,2025-05-04,settled,custody_platform,stablecoin,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_256285"", ""custodian_ref"": ""CREF_412341""}",2025-05-07 19:10:02
FE000107,CUST003,ASSET_ETH,staking_reward_earned,79.25630113,7.92563011,71.33067102,2024-10-18 14:30:45,2024-10-01,2024-11-02,settled,protocol_oracle,staking,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_598784"", ""custodian_ref"": ""CREF_924021""}",2024-10-18 14:30:45
